seqnames,start,width
chr1,9999998,2
chr1,9999951,2
chr1,9999812,2
chr1,9999588,2
chr1,9999548,2
chr1,9999524,2
chr1,9999197,2
chr1,9998843,2
chr1,9998713,2
chr1,9998503,2
chr1,9998426,2
chr1,9998388,2
chr1,9998269,2
chr1,9998118,2
chr1,9998055,2
chr1,9998044,2
chr1,9998007,2
chr1,9997975,2
chr1,9997963,2
chr1,9997954,2
chr1,9997793,2
chr1,9997608,2
chr1,9997585,2
chr1,9997579,2
chr1,9997352,2
chr1,9997315,2
chr1,9997223,2
chr1,9997026,2
chr1,9996815,2
chr1,9996777,2
chr1,9996433,2
chr1,9996428,2
chr1,9996410,2
chr1,9996291,2
chr1,9996048,2
chr1,9995730,2
chr1,9995656,2
chr1,9995619,2
chr1,9995564,2
chr1,9995562,2
chr1,9995558,2
chr1,9995263,2
chr1,9995235,2
chr1,9995166,2
chr1,9995157,2
chr1,9995037,2
chr1,9994947,2
chr1,9994858,2
chr1,9994765,2
chr1,9994714,2
chr1,9994606,2
chr1,9994354,2
chr1,9994280,2
chr1,9994247,2
chr1,9994146,2
chr1,9994076,2
chr1,9993933,2
chr1,9993904,2
chr1,9993878,2
chr1,9993759,2
chr1,9993753,2
chr1,9993721,2
chr1,9993702,2
chr1,9993684,2
chr1,9993507,2
chr1,9993506,2
chr1,9993338,2
chr1,9993259,2
chr1,9993249,2
chr1,9993103,2
chr1,9992919,2
chr1,9992898,2
chr1,9992839,2
chr1,9992786,2
chr1,9992782,2
chr1,9992706,2
chr1,9992578,2
chr1,9992536,2
chr1,9992485,2
chr1,9992431,2
chr1,9992361,2
chr1,9992134,2
chr1,9992009,2
chr1,9991960,2
chr1,9991810,2
chr1,9991712,2
chr1,9991696,2
chr1,9991633,2
chr1,9991401,2
chr1,9991130,2
chr1,9991026,2
chr1,9990910,2
chr1,9990841,2
chr1,9990802,2
chr1,9990731,2
chr1,9990626,2
chr1,9990623,2
chr1,9990617,2
chr1,9990364,2
chr1,9990331,2
chr1,9990323,2
chr1,9990300,2
chr1,9990299,2
chr1,9990281,2
chr1,9990205,2
chr1,9990026,2
chr1,9989906,2
chr1,9989763,2
chr1,9989758,2
chr1,9989735,2
chr1,9989734,2
chr1,9989583,2
chr1,9989566,2
chr1,9989470,2
chr1,9989245,2
chr1,9988982,2
chr1,9988915,2
chr1,9988511,2
chr1,9988479,2
chr1,9988471,2
chr1,9988466,2
chr1,9988446,2
chr1,9987937,2
chr1,9987842,2
chr1,9987766,2
chr1,9987744,2
chr1,9987727,2
chr1,9987594,2
chr1,9987523,2
chr1,9987090,2
chr1,9987009,2
chr1,9986924,2
chr1,9986843,2
chr1,9986689,2
chr1,9986553,2
chr1,9986249,2
chr1,9986144,2
chr1,9985875,2
chr1,9985857,2
chr1,9985803,2
chr1,9985657,2
chr1,9985542,2
chr1,9985368,2
chr1,9985019,2
chr1,9984892,2
chr1,9984856,2
chr1,9984349,2
chr1,9984312,2
chr1,9984255,2
chr1,9984030,2
chr1,9984001,2
chr1,9983899,2
chr1,9983891,2
chr1,9983738,2
chr1,9983665,2
chr1,9983436,2
chr1,9983434,2
chr1,9983322,2
chr1,9983312,2
chr1,9983311,2
chr1,9983299,2
chr1,9983222,2
chr1,9982948,2
chr1,9982886,2
chr1,9982832,2
chr1,9982811,2
chr1,9982652,2
chr1,9982650,2
chr1,9982459,2
chr1,9982434,2
chr1,9982315,2
chr1,9982169,2
chr1,9982093,2
chr1,9982072,2
chr1,9982037,2
chr1,9981884,2
chr1,9981774,2
chr1,9981606,2
chr1,9981376,2
chr1,9981239,2
chr1,9981190,2
chr1,9981095,2
chr1,9981008,2
chr1,9981006,2
chr1,9980978,2
chr1,9980848,2
chr1,9980735,2
chr1,9980701,2
chr1,9980696,2
chr1,9980547,2
chr1,9980434,2
chr1,9980411,2
chr1,9980211,2
chr1,9980130,2
chr1,9979907,2
chr1,9979882,2
chr1,9979730,2
chr1,9979702,2
chr1,9979488,2
chr1,9979416,2
chr1,9979357,2
chr1,9979310,2
chr1,9978954,2
chr1,9978911,2
chr1,9978768,2
chr1,9978753,2
chr1,9978646,2
chr1,9978645,2
chr1,9978628,2
chr1,9978560,2
chr1,9978537,2
chr1,9978429,2
chr1,9978416,2
chr1,9978251,2
chr1,9978145,2
chr1,9978015,2
chr1,9977929,2
chr1,9977850,2
chr1,9977838,2
chr1,9977561,2
chr1,9977457,2
chr1,9977424,2
chr1,9977422,2
chr1,9977279,2
chr1,9977265,2
chr1,9977114,2
chr1,9976862,2
chr1,9976765,2
chr1,9976572,2
chr1,9976531,2
chr1,9976522,2
chr1,9976503,2
chr1,9976421,2
chr1,9976316,2
chr1,9976304,2
chr1,9976047,2
chr1,9975851,2
chr1,9975728,2
chr1,9975572,2
chr1,9975547,2
chr1,9975200,2
chr1,9975083,2
chr1,9974994,2
chr1,9974925,2
chr1,9974860,2
chr1,9974828,2
chr1,9974633,2
chr1,9974579,2
chr1,9974111,2
chr1,9973967,2
chr1,9973810,2
chr1,9973764,2
chr1,9973725,2
chr1,9973508,2
chr1,9973210,2
chr1,9973168,2
chr1,9973140,2
chr1,9973100,2
chr1,9973010,2
chr1,9972956,2
chr1,9972851,2
chr1,9972805,2
chr1,9972777,2
chr1,9972705,2
chr1,9972613,2
chr1,9972443,2
chr1,9972181,2
chr1,9972121,2
chr1,9972017,2
chr1,9971933,2
chr1,9971825,2
chr1,9971584,2
chr1,9971524,2
chr1,9971513,2
chr1,9971254,2
chr1,9971200,2
chr1,9971155,2
chr1,9971095,2
chr1,9971022,2
chr1,9970987,2
chr1,9970932,2
chr1,9970701,2
chr1,9970671,2
chr1,9970565,2
chr1,9970506,2
chr1,9970430,2
chr1,9970348,2
chr1,9970335,2
chr1,9970121,2
chr1,9969979,2
chr1,9969873,2
chr1,9969870,2
chr1,9969843,2
chr1,9969754,2
chr1,9969735,2
chr1,9969707,2
chr1,9969658,2
chr1,9969623,2
chr1,9969517,2
chr1,9969466,2
chr1,9969197,2
chr1,9969091,2
chr1,9968579,2
chr1,9968106,2
chr1,9967854,2
chr1,9967815,2
chr1,9967550,2
chr1,9967446,2
chr1,9967346,2
chr1,9967340,2
chr1,9967275,2
chr1,9967243,2
chr1,9967218,2
chr1,9967202,2
chr1,9967191,2
chr1,9967178,2
chr1,9967121,2
chr1,9967119,2
chr1,9967078,2
chr1,9966986,2
chr1,9966822,2
chr1,9966794,2
chr1,9966614,2
chr1,9966472,2
chr1,9966438,2
chr1,9966417,2
chr1,9966408,2
chr1,9966385,2
chr1,9966302,2
chr1,9966286,2
chr1,9966263,2
chr1,9966190,2
chr1,9966073,2
chr1,9966059,2
chr1,9966045,2
chr1,9965585,2
chr1,9965501,2
chr1,9965250,2
chr1,9965187,2
chr1,9965159,2
chr1,9965058,2
chr1,9965034,2
chr1,9964948,2
chr1,9964895,2
chr1,9964853,2
chr1,9964825,2
chr1,9964791,2
chr1,9964676,2
chr1,9964642,2
chr1,9964607,2
chr1,9964534,2
chr1,9964412,2
chr1,9964351,2
chr1,9964201,2
chr1,9964071,2
chr1,9963952,2
chr1,9963848,2
chr1,9963556,2
chr1,9963408,2
chr1,9963305,2
chr1,9962994,2
chr1,9962932,2
chr1,9962831,2
chr1,9962649,2
chr1,9962315,2
chr1,9962230,2
chr1,9962114,2
chr1,9962016,2
chr1,9961939,2
chr1,9961861,2
chr1,9961848,2
chr1,9961786,2
chr1,9961762,2
chr1,9961699,2
chr1,9961687,2
chr1,9961552,2
chr1,9961544,2
chr1,9961202,2
chr1,9961152,2
chr1,9961140,2
chr1,9960976,2
chr1,9960945,2
chr1,9960822,2
chr1,9960505,2
chr1,9960412,2
chr1,9960356,2
chr1,9960331,2
chr1,9960217,2
chr1,9960151,2
chr1,9959935,2
chr1,9959905,2
chr1,9959899,2
chr1,9959808,2
chr1,9959789,2
chr1,9959600,2
chr1,9959434,2
chr1,9959405,2
chr1,9958942,2
chr1,9958806,2
chr1,9958754,2
chr1,9958687,2
chr1,9958601,2
chr1,9958456,2
chr1,9958448,2
chr1,9958430,2
chr1,9958429,2
chr1,9958212,2
chr1,9958205,2
chr1,9958114,2
chr1,9958083,2
chr1,9958006,2
chr1,9957946,2
chr1,9957925,2
chr1,9957866,2
chr1,9957678,2
chr1,9957572,2
chr1,9957288,2
chr1,9957253,2
chr1,9957197,2
chr1,9957144,2
chr1,9956922,2
chr1,9956808,2
chr1,9956609,2
chr1,9956402,2
chr1,9956177,2
chr1,9955895,2
chr1,9955747,2
chr1,9955714,2
chr1,9955541,2
chr1,9955512,2
chr1,9955290,2
chr1,9955287,2
chr1,9955185,2
chr1,9955170,2
chr1,9955103,2
chr1,9955038,2
chr1,9955014,2
chr1,9954883,2
chr1,9954839,2
chr1,9954835,2
chr1,9954636,2
chr1,9954628,2
chr1,9954575,2
chr1,9954518,2
chr1,9954042,2
chr1,9953788,2
chr1,9953568,2
chr1,9953518,2
chr1,9953238,2
chr1,9953205,2
chr1,9953183,2
chr1,9953112,2
chr1,9953055,2
chr1,9953010,2
chr1,9952935,2
chr1,9952919,2
chr1,9952914,2
chr1,9952866,2
chr1,9952842,2
chr1,9952825,2
chr1,9952568,2
chr1,9952454,2
chr1,9952322,2
chr1,9952285,2
chr1,9952197,2
chr1,9952114,2
chr1,9952042,2
chr1,9951928,2
chr1,9951893,2
chr1,9951839,2
chr1,9951675,2
chr1,9951589,2
chr1,9951556,2
chr1,9951528,2
chr1,9951495,2
chr1,9951397,2
chr1,9951396,2
chr1,9951182,2
chr1,9951122,2
chr1,9951076,2
chr1,9950959,2
chr1,9950800,2
chr1,9950772,2
chr1,9950678,2
chr1,9950575,2
chr1,9950318,2
chr1,9950250,2
chr1,9950173,2
chr1,9950139,2
chr1,9949716,2
chr1,9949623,2
chr1,9949276,2
chr1,9949127,2
chr1,9949111,2
chr1,9948914,2
chr1,9948829,2
chr1,9948714,2
chr1,9948641,2
chr1,9948545,2
chr1,9948159,2
chr1,9948103,2
chr1,9948086,2
chr1,9947859,2
chr1,9947734,2
chr1,9947720,2
chr1,9947719,2
chr1,9947559,2
chr1,9947542,2
chr1,9947499,2
chr1,9947432,2
chr1,9947415,2
chr1,9947322,2
chr1,9947107,2
chr1,9947062,2
chr1,9946938,2
chr1,9946701,2
chr1,9946619,2
chr1,9946572,2
chr1,9946215,2
chr1,9946151,2
chr1,9946137,2
chr1,9946066,2
chr1,9946062,2
chr1,9945824,2
chr1,9945776,2
chr1,9945607,2
chr1,9945088,2
chr1,9944929,2
chr1,9944847,2
chr1,9944753,2
chr1,9944689,2
chr1,9944622,2
chr1,9944311,2
chr1,9944132,2
chr1,9944020,2
chr1,9943539,2
chr1,9943405,2
chr1,9943336,2
chr1,9943297,2
chr1,9943230,2
chr1,9943078,2
chr1,9942972,2
chr1,9942932,2
chr1,9942731,2
chr1,9942375,2
chr1,9942352,2
chr1,9942280,2
chr1,9942250,2
chr1,9942227,2
chr1,9941940,2
chr1,9941909,2
chr1,9941790,2
chr1,9941759,2
chr1,9941721,2
chr1,9941506,2
chr1,9941481,2
chr1,9941129,2
chr1,9941040,2
chr1,9940943,2
chr1,9940917,2
chr1,9940819,2
chr1,9940752,2
chr1,9940701,2
chr1,9940635,2
chr1,9940209,2
chr1,9940190,2
chr1,9940165,2
chr1,9940021,2
chr1,9939913,2
chr1,9939695,2
chr1,9939527,2
chr1,9939398,2
chr1,9939327,2
chr1,9939169,2
chr1,9939103,2
chr1,9938859,2
chr1,9938798,2
chr1,9938771,2
chr1,9938492,2
chr1,9938486,2
chr1,9938429,2
chr1,9938317,2
chr1,9938221,2
chr1,9938204,2
chr1,9938074,2
chr1,9938003,2
chr1,9937776,2
chr1,9937712,2
chr1,9937372,2
chr1,9937319,2
chr1,9937248,2
chr1,9937143,2
chr1,9937111,2
chr1,9936715,2
chr1,9936574,2
chr1,9936457,2
chr1,9936379,2
chr1,9936242,2
chr1,9936135,2
chr1,9936102,2
chr1,9936100,2
chr1,9935981,2
chr1,9935878,2
chr1,9935854,2
chr1,9935834,2
chr1,9935813,2
chr1,9935756,2
chr1,9935633,2
chr1,9935595,2
chr1,9935575,2
chr1,9935471,2
chr1,9935441,2
chr1,9935399,2
chr1,9935379,2
chr1,9935309,2
chr1,9935142,2
chr1,9935073,2
chr1,9934543,2
chr1,9934441,2
chr1,9934422,2
chr1,9934298,2
chr1,9934196,2
chr1,9933865,2
chr1,9933773,2
chr1,9933753,2
chr1,9933722,2
chr1,9933696,2
chr1,9933604,2
chr1,9933472,2
chr1,9933400,2
chr1,9933342,2
chr1,9933092,2
chr1,9932868,2
chr1,9932646,2
chr1,9932361,2
chr1,9932297,2
chr1,9932241,2
chr1,9932103,2
chr1,9932071,2
chr1,9932070,2
chr1,9932005,2
chr1,9931973,2
chr1,9931918,2
chr1,9931862,2
chr1,9931802,2
chr1,9931765,2
chr1,9931761,2
chr1,9931734,2
chr1,9931581,2
chr1,9931454,2
chr1,9931391,2
chr1,9931371,2
chr1,9930880,2
chr1,9930647,2
chr1,9930628,2
chr1,9930468,2
chr1,9930340,2
chr1,9930324,2
chr1,9930274,2
chr1,9930260,2
chr1,9930228,2
chr1,9930195,2
chr1,9930085,2
chr1,9930049,2
chr1,9929941,2
chr1,9929831,2
chr1,9929825,2
chr1,9929802,2
chr1,9929774,2
chr1,9929609,2
chr1,9929549,2
chr1,9929520,2
chr1,9929361,2
chr1,9929300,2
